Title,Body,Category,SubCategory,Opened At,Team
ownership,hello please frequently ownership needs changed under thank kind regards,Network,DHCP,4/3/2016 10:23,Networking Team
public static urgent,public static urgent hello offering client client has defined which allowed application because offering usually working public static couple questions where client wait response connect static public public static possibility please assist asap thanks senior engineer,Database,MS SQL Server,4/3/2016 10:23,DB Team
account extension ad,re contract due hi everyone how update supposed done morning had speaking seems his expiration date updated please confirmation thread tag ad extension thank kind regards november re contract due hi thank confirming updated information kind regards november pm re contract due hi please note extension until december has approved please ensure updated accordingly thanks mobility officer november re contract due hi extend till december thank kind regards november re contract due hi believe around anymore cheers november re contract due hi please asap extended kind regards mobility officer november contract due dear contract due please contract extended date note by disabled contract ended thank,Inquiry / Help,Antivirus,4/3/2016 10:23,Support Team
change value survey,please amend values changed fatal error fatal error thank,Network,DHCP,4/3/2016 10:23,Networking Team
reset password for and change name for,contacted name,Database,MS SQL Server,4/3/2016 10:23,DB Team
suggestion logging from snow multiple generic requests to be logged from one reference,suggestion logging snow multiple generic requests logged reference hello please advised logged best regards administrator,Network,DHCP,4/3/2016 10:24,Networking Team
admin accounts needed,accounts needed hello hopefully help allow log infrastructure believe also allow log well help ask thanks infrastructure architect infrastructure,Software,Operating System,4/3/2016 10:24,Software Team
to storage location,storage location hello please provide location storage internship grateful possible thank kind regards senior tester id image,Database,MS SQL Server,4/3/2016 10:26,DB Team
set up,dear please owner planning thank planning officer ext,Network,VPN,4/3/2016 10:26,Networking Team
list,dear please let renamed then please create owner thank,Inquiry / Help,Internal Application,4/3/2016 10:28,Support Team
shared mailbox,shared mailbox dear please let shared mailbox renamed then please create shared owner provide thank,Network,VPN,4/3/2016 10:28,Networking Team
additional monitor,additional monitor hello due requirements additional monitor order function properly multiple physical machines clients connect different environments asap please treat high importance much appreciated design lead ext,Hardware,Mouse,4/3/2016 10:28,Hardware Team
backup storage monthly disk report on,backup storage disk report dear user report regarding disks also individual disks storage disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count disk disk count bad sector count disk re identification count sincerely,Network,IP Address,4/3/2016 10:28,Networking Team
oracle production provide data access for users,production provide users hello please provide users please provide organizations listed role intercompany accountant context intercompany organization context values guernsey benefit example please let questions thank kind regards,Network,DNS,4/3/2016 10:28,Networking Team
changes to the report used by,changes report by hello teams please rise please report agreed entity id job details entities report moment entity ids match reports kind regards engineer,Database,MS SQL Server,4/3/2016 10:28,DB Team
acrobat,acrobat hi needs acrobat pc please let license create information install software received thanks senior engineer ext cell upcoming days off february december phone number please consider environment print,Database,Oracle,4/3/2016 10:28,DB Team
stand for laptop,stand dear please provide stand stand preventing heating which increase performance also stand align second monitor which help orientation lot thank engineer,Inquiry / Help,Email,4/3/2016 10:28,Support Team
access shut off asap,shut off asap hello please shut off his date december he working today best,Database,Oracle,4/3/2016 10:30,DB Team
leaver service now december new jersey,leaver form leave date december location jersey hello leaver form has filled by name leaving date december location jersey ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other confluence commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details planned comments needed tickets automatically logged best regards note mailbox receive messages,Hardware,Monitor,4/3/2016 10:30,Hardware Team
leaver service now november tower,leaver form leave date november location tower hello leaver form has filled by name leaving date november location tower ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details planned comments needed tickets automatically logged best regards note mailbox receive messages,Database,Oracle,4/3/2016 10:30,DB Team
complaints to be logged under,complaints logged under hello currently complaints logged under queue please change owner these logged under her queue feedback owners please let further assist information kind regards leader mobile,Hardware,Disk,4/3/2016 10:30,Hardware Team
add project codes oracle pas pas,hi please setup codes attachments,Network,VPN,4/3/2016 10:30,Networking Team
replace laptop,replace dear moved other tower please replace his regular thank engineer,Software,Email,4/3/2016 10:30,Software Team
leaver service now december,leaver form leave date december location hello leaver form has filled by name leaving date december location ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments floor needed tickets automatically logged best regards note mailbox receive messages,Hardware,Mouse,4/3/2016 10:31,Hardware Team
second adapter for,second adapter hello going work tomorrow second adapter please advice regards,Network,DHCP,4/3/2016 10:31,Networking Team
new starter ad admin account colombia bogota bogota,starter form complete form cheers friday november re starter form complete hello please find attached completed form needed please let thanks november starter form complete dear please help completion attached form joining st december please note announcement he think unit form please thank,Inquiry / Help,Email,4/3/2016 10:34,Support Team
admin rights for lists,rights lists hello please make administrator add delete members please note looking after these two copying his needed thanks,Network,IP Address,4/3/2016 10:34,Networking Team
new starter center,starter dear please informed candidate accepted job offer become discipline december developer please create his credentials thank specialist,Database,MS SQL Server,4/3/2016 10:34,DB Team
new pipeline agile development under account oracle,hello currently consolidating two separate entities give same permissions currently has please include pre code well also create pipeline agile under give write thanks,Database,MS SQL Server,4/3/2016 10:34,DB Team
setup new space,setup hi folder functions facilities has called fit out well store documentation related offices fit out procedures please assign rights order manage later thanks help,Database,MS SQL Server,4/3/2016 10:37,DB Team
install windows,install dear please clean install best regards engineer,Hardware,Keyboard,4/3/2016 10:37,Hardware Team
transfer of hardware reallocation,transfer hey guys understand process follow take ownership leaving leaving next he has agreed pass his onto process follow thanks,Network,DNS,4/3/2016 10:37,Networking Team
leaver,leaver dear leaver considered form attached kind regards,Network,DNS,4/3/2016 10:37,Networking Team
and active,active hello teams please disable bus anymore please rise kind regards wednesday november pm re active hello anymore disabled kind regards engineer wednesday november pm active hello teams well please let active please additional information please hesitate kind regards engineer,Network,VPN,4/3/2016 10:37,Networking Team
new starter center,hi please fill thanks kind regards id image cd,Database,Oracle,4/3/2016 10:37,DB Team
oracle holiday codes,please action hello requested holiday clear code book assume holiday come after please advise date november please action dear part established processes each required submit his weekly basis each friday past must submitted receiving because haven followed process please action possible breakdown please log accordingly training materials available id by each wednesday past period then also notified country date total days,Network,VPN,4/3/2016 10:39,Networking Team
return from maternity leave access card enabling,return maternity leave hi return maternity leave friday december st please find attached thank regards administrator,Network,Wireless,4/3/2016 10:39,Networking Team
mail parameters,re test hi thanks parameters configuration example image thanks,Software,Operating System,4/3/2016 10:44,Software Team
maintenance,hi environment mode weekend november duration during period won accessible please communication users client heads client infrastructure additional information please hesitate kind regards engineer,Software,Operating System,4/3/2016 10:44,Software Team
extend pool,extend pool hi please log assign order extend poll also please limit duration best regards senior engineer,Inquiry / Help,Antivirus,4/3/2016 10:48,Support Team
new starter kale building,starter form induction hi bile absence please complete attached empty part thank officer,Software,Email,4/3/2016 10:48,Software Team
internal transfer milos hardware allocation belgrade,transfer dear please find form he change december st he equipment his change thank kind regards administrator,Database,Oracle,4/3/2016 10:48,DB Team
internal transfer hardware allocation belgrade,transfer dear change december he must return his equipment he needs he also change thank kind regards administrator,Software,Email,4/3/2016 10:48,Software Team
update the lock screen with the annual it survey link message,update lock screen annual survey link hello preparing next annual satisfaction survey aiming launch mid next informed possibility also update machines lock screens text survey link hoping gain more visibility encourage response rate please advise add survey link text about satisfaction survey how take information proceed changes survey link personalized image information confirmation provide relevant accordingly looking forward hearing care,Database,MS SQL Server,4/3/2016 10:48,DB Team
complaints follow up notifications implementation,complaints follow hello please implement snow requirement satisfaction weekly feedback owners follow complaints text contain per example hello name please complaint tickets followed please progress complaints by going dashboard snow dashboard best regards care assigned complaint type made available clients feedback surveys implemented snow further information assistance please let thank care,Software,Operating System,4/3/2016 10:48,Software Team
closing com,closing dear please close since shared raised shared ago due misunderstanding confusing since active colleagues query thank regards kind regards country,Network,DHCP,4/3/2016 10:52,Networking Team
wants to access response draft,wants response draft please write doc asap critical complete document today strong deadline thanks accept decline requests,Network,Wireless,4/3/2016 10:52,Networking Team
contract is due to end urgent,contract due urgent please note date has changed december his date today update shortly kind regards mobility officer november re contract due urgent certainly kind regards mobility officer november re contract due urgent december please headroom while re waiting confirmation cs how days want thanks lot november re contract due urgent hi enter date shall next friday safe december kind regards mobility officer november re contract due urgent importance high hi possible off boarding hold please want keep him few more days confirmed thanks november re contract due hi added date kind regards november pm re contract due hi please note contract kind regards mobility officer november contract due dear contract due please contract extended date note by disabled contract ended thank,Inquiry / Help,Email,4/3/2016 10:52,Support Team
people dashboard pas,dashboard dear please log separate thank kind regards wednesday november pm re dashboard please attached template best regards wednesday november re dashboard hello create code setup form filled form found policies forms policies procedures view ribbon seems name dashboard under client offers cost recovery somebody fill information form thank understanding kind regards engineer wednesday november re dashboard hi recoverability per procedure meanwhile dear please assign dear assign please let questions best regards wednesday november pm re dashboard hey review discussed dashboard suggestion review believe good investing therefore please consider proposal approved recommendation advise getting touch he comfortable proposal terms information extracted reports once agreed ahead starting creation code please add both myself offer recovery next meetings progress therefore moment please let questions require side best luck keep touch november dashboard hi thank proposal regarding dashboard over updated costs let forum feedback during once meeting review has taken keep touch,Database,MS SQL Server,4/3/2016 10:52,DB Team
snow survey requirements outstanding items,snow survey requirements outstanding items hello revamp low score currently subject format logged low score remote work please conduct changes subject states re low satisfaction trigger accordingly trigger summary please extend clients which currently conducting satisfaction surveys further information please let gladly assist thank care,Database,MS SQL Server,4/3/2016 10:53,DB Team
transfer form query,rights hi guys please assist thank,Software,Email,4/3/2016 10:53,Software Team
disable account for com,re valid valid hi both these were created import haven ever logged say safe please process leavers thank,Inquiry / Help,Antivirus,4/3/2016 10:53,Support Team
pas new project code creation for oracle and pas,code creation hi please update red recoverable requires task strategy please let questions additional information thank senior,Inquiry / Help,Internal Application,4/3/2016 10:53,Support Team
ms pro and,pro hello urgently pro installed please ideally pm please thanks,Inquiry / Help,Internal Application,4/3/2016 10:54,Support Team
time entry,hello lemma october received stating he did complete please enter each october october under his thank,Hardware,CPU,4/3/2016 10:54,Hardware Team
entry,hello contractor unable enter her two weeks employment details code migration user id name entered zero worked worked worked worked worked worked worked worked her please enter thank,Inquiry / Help,Internal Application,4/3/2016 10:54,Support Team
credentials,credentials whom concern per credentials order next days thanks designer,Hardware,Monitor,4/3/2016 10:54,Hardware Team
please action direct reports missing time,please action reports hello guys please take relevant actions order submit rest he left thank november please action reports dear part established processes each required submit his weekly basis each friday past must submitted receiving because reports haven followed process please help cascade accordingly gets possible breakdown reports please note refers has left maternity other absence leave please update person record otherwise please person directly submit country date total days,Hardware,Mouse,4/3/2016 10:55,Hardware Team
laptop en,hi looking little beat due lots travelling since got although functioning understanding aim retaining device years due renewal thanks independent director,Hardware,Keyboard,4/3/2016 10:55,Hardware Team
card access,card hello please provide card floor after pm area please details badge details thank accountant,Network,DHCP,4/3/2016 10:56,Networking Team
your password expire days,re expire days hello change displayed tried change change organization allow change site please change according method recommended by organization ask help attached thanks test date wednesday november pm expire days dear expire days change pc press ctrl alt delete choose change thanks ext,Database,MS SQL Server,4/3/2016 10:56,DB Team
wants to share response draft with,wants share response draft want share response draft accept decline requests,Hardware,Monitor,4/3/2016 10:58,Hardware Team
leaver mobile phone subscription november belgrade,re leaver mobile phone november cancel subscription best regards administrator date wednesday november re leaver mobile phone november hi cancel mobile subscription user left kind regards administrator id image wednesday november leaver mobile phone november hi had mobile subscription plan available mobile number note mailbox receive messages,Software,Operating System,4/3/2016 10:58,Software Team
leaver service now november belgrade,leaver form leave date november location hello leaver form has filled by name leaving date november location ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other rights commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details planned comments needed tickets automatically logged best regards note mailbox receive messages,Hardware,Memory,4/3/2016 10:58,Hardware Team
certificates renewal confirmation needed,purchase po hi purchased certificates please charge addresses purchase kind regards administrator november pm purchase po hi guys purchased years multi certificate sans sip unfortunately somebody needs purchase receive certificates administrator kind regards administrator,Software,Operating System,4/3/2016 10:58,Software Team
orchestration software installation needed,orchestration software installation needed hi please mid application installed infrastructure automation steps developed part work has tested test environment which setup part requirements software software installed least different manage ad provide installation instructions needed completed by december available provide additional information needed thank,Network,VPN,4/3/2016 10:58,Networking Team
leaver service now november,leaver form leave date november location hello leaver form has filled by name leaving date november location ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other processed returned locally commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments dedicated allocated needed tickets automatically logged best regards note mailbox receive messages,Inquiry / Help,Internal Application,4/3/2016 10:58,Support Team
keyboard needed,keyboard needed hello please kindly provide keyboard make much easier kind regards va analyst,Software,Email,4/3/2016 10:59,Software Team
new stand for laptop,stand dear please provide stand best regards engineer,Software,Email,4/3/2016 10:59,Software Team
account ownership,ownership hi since tomorrow remind revoke ownership over accounts events assign person choosing thanks,Inquiry / Help,Antivirus,4/3/2016 11:04,Support Team
cable,cable hello please provide cable monitor has thank tester,Network,Wireless,4/3/2016 11:04,Networking Team
keyboard for laptop,keyboard dear please provide additional keyboard make more easily work computer thank kind regards analyst,Database,MS SQL Server,4/3/2016 11:05,DB Team
keyboard for laptop,keyboard hello please provide keyboard thank best regards analyst,Inquiry / Help,Internal Application,4/3/2016 11:05,Support Team
request for cable,cable hello dear replaced cannot connect monitor please provide cable thanks best regards,Network,DHCP,4/3/2016 11:12,Networking Team
leaver form for leave date november location snow,leaver form leave date november location hello leaver form has filled by name leaving date november location ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details planned comments planned roll off needed tickets automatically logged best regards note mailbox receive messages,Network,Wireless,4/3/2016 11:12,Networking Team
leaver form for leave date november location kale building,leaver form leave date november location kale building hello leaver form has filled by name leaving date november location kale building ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments needs provided till november actively involved until he leaves needed tickets automatically logged best regards note mailbox receive messages,Hardware,Keyboard,4/3/2016 11:12,Hardware Team
oracle set up projects oracle and pas management,hi please create code per enclosed spreadsheets regards upcoming public holidays st floor blvd district,Hardware,Disk,4/3/2016 11:12,Hardware Team
laptop return,return hello leaving holiday next couple weeks return december thank,Inquiry / Help,Email,4/3/2016 11:15,Support Team
mailbox creation request,mailbox creation hello please help creation mailbox also please myself thank,Network,Wireless,4/3/2016 11:15,Networking Team
leaver form for,re leaver form dear please reassign form thank lead wednesday november pm re leaver form hi several months required date wednesday november leaver form please fill submit leaver form,Hardware,CPU,4/3/2016 11:18,Hardware Team
leaver form for leave date november location tower snow,leaver form leave date november location tower hello leaver form has filled by name leaving date november location tower ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments tower floor needed tickets automatically logged best regards note mailbox receive messages,Network,IP Address,4/3/2016 11:18,Networking Team
new project code oracle fusion,urgent created hi kindly ask create both today beginning date please treat high priority requirements please create subtype named corporate exceptional linked subtype these add code add form length code these offer cost recovery please let questions thanks,Software,Operating System,4/3/2016 11:18,Software Team
new project code oracle fusion,urgent created sorry rush forgot add attachments wednesday november pm urgent created hi kindly ask create both today beginning date please treat high priority requirements please create subtype named corporate exceptional linked subtype these add code add form length code these offer cost recovery please let questions thanks,Software,Operating System,4/3/2016 11:18,Software Team
accounts,accounts hi ask create accounts certificates thank,Software,Email,4/3/2016 11:20,Software Team
name change to access card,hello please change name she works thank administration officer wednesday november pm re la client si november pm re ex tot wednesday july re carte tuesday pm re actions maintain absence records special leave reason marriage leave si carte tot format tuesday pm si alt act,Hardware,Keyboard,4/3/2016 11:20,Hardware Team
new repositories for,repositories hello developed version application stored old git repository tool close deploy production want test version deployed which testing application testing graduates program going version two repositories created source code automation framework order create automated tests uncertainties please further details thank senior tester,Database,DB2,4/3/2016 11:20,DB Team
confluence account password,confluence hi clients having problem accessing confluence tried working details also restricted let more information client perform actions thanks november confluence having issues accessing updating confluence tried work help please thanks november confluence has requested valid next worry ask link details name by confluence has contents incorporate subject disclaimer which accessed by clicking disclaimer has contents incorporate subject disclaimer which accessed by clicking disclaimer,Software,Operating System,4/3/2016 11:20,Software Team
change the owner of the shared mailbox resolved,re manage shared mailbox hi approved please owner thanks,Inquiry / Help,Antivirus,4/3/2016 11:21,Support Team
change request,change please assign instead myself thank unit,Database,Oracle,4/3/2016 11:21,DB Team
address,re starter form hello please had named colleague has second name please assure her going different than thanks administration officer thursday november pm re starter form merci administration officer thursday november re starter form tuesday november starter form hello please fill enclosed starter form please working location until opening help further please let thanks administration officer,Hardware,Memory,4/3/2016 11:22,Hardware Team
windows install,install,Hardware,Mouse,4/3/2016 11:22,Hardware Team
collaborator licenses,collaborator licenses hello ago information compliance officer conducted tool within application passed his compliance testing creative grows across locations urgent collaborator licenses forced create personal accounts share ids which against policy tool build creative prototypes clients creative total whom collaborator licenses locations attached file links vendor pricing information overview customers features pricing please reach out questions thanks head creative id image,Hardware,Keyboard,4/3/2016 11:25,Hardware Team
windows request for info,re forced upgrade reminder hello upgraded station temporarily win regards friday november pm forced upgrade reminder importance high hello everyone upgraded workstation please disregard coming back announcement order inform upgrade mandatory possibility choose upgrade interval kindly asking give action possible estimated upgrade process complete approximately minutes please announcement attached file after proceed upgrade starting forced upgrade means upgrade process automatically workstation stop process assets upgraded date forced upgrade take notified least two times please understand responsibility backup files important note dependency remain version please notify possible workstation having less than free please article more information kb view article kb subscription store files please make files completely synchronized unlinking subscription please kb article more kb view article kb thank kind regards ext,Network,IP Address,4/3/2016 11:25,Networking Team
new purchase po,purchase po dear purchased professional backpack please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,Software,Email,4/3/2016 11:25,Software Team
career coaches,coaches hi please change his thanks,Hardware,Keyboard,4/3/2016 11:25,Hardware Team
front entrance mode set up,front entrance mode hi please front entrance premises mode same starting december keep temperature premises level best director,Hardware,Memory,4/3/2016 11:26,Hardware Team
tunnel,tunnel hello please add tunnel he resources lead thank opportunities lead,Inquiry / Help,Email,4/3/2016 11:26,Support Team
disable contact for,re valid good afternoon mentioned best regards,Hardware,CPU,4/3/2016 11:26,Hardware Team
monitor request,monitor hello please assign under queue monitor kind regards tester,Software,Email,4/3/2016 11:26,Software Team
notification windows upgrade for,re upgrade hello dear please today thank hello everyone renewing announcement upgraded workstation thanking receptive stop reading coming back announce asking understand upgrading mandatory reached where forced upgrade process workstations forced upgrade procedures december back files please understand responsibility action forced upgrade automatically once started stop upgrade strongly advise off workstation avoid loss upgrade process take around minutes important note dependency remain version please notify asap workstation having less than free how please require assistance please article kb view article kb subscription store files please make files completely synchronized unlinking subscription please kb more kb view article kb kind regards infrastructure ext phone subsidiaries separate entity has liability entity acts omissions,Software,Email,4/3/2016 11:30,Software Team
access list hopping stations servers,hopping stations hello please add thank,Software,Operating System,4/3/2016 11:30,Software Team
need your approval for the licenses,licenses hi please best regards analyst wednesday november pm licenses hi please help find tried find urgently approved thank head thursday november pm re licenses issue flow table approvers head thursday november pm re licenses hi come thanks head thursday november pm licenses hi has rejected by mistake needs again please approve requisition sorry inconveniences thanks head,Software,Operating System,4/3/2016 11:32,Software Team
missing time sheet,sheet hi left enter sheet bellow period person number country job discipline grade assignment person date senior developer senior engineer senior engineer active senior developer senior engineer senior engineer active senior developer senior engineer senior engineer active senior developer senior engineer senior engineer active senior developer senior engineer senior engineer active best planner,Network,Wireless,4/3/2016 11:32,Networking Team
space on disk,disk hi please log clean order install update thanks best regards,Software,Email,4/3/2016 11:32,Software Team
send item for po to ms,re purchase po has assigned hi please item po kind regards administrator,Hardware,Monitor,4/3/2016 11:32,Hardware Team
video camera,camera video hello please assign queue thank mobile re camera video la genius si si test best regards engineer ext wednesday november re camera video next streaming la camera video design lead wednesday november re camera video predate la si best regards engineer ext tuesday november pm camera video maine camera video cum design lead,Network,VPN,4/3/2016 11:34,Networking Team
windows exclude from forced upgrade,re forced upgrade reminder hi please exclude forced upgrade issues making changes thanks officer friday november pm forced upgrade reminder importance high hello everyone upgraded workstation please disregard coming back announcement order inform upgrade mandatory possibility choose upgrade interval kindly asking give action possible estimated upgrade process complete approximately minutes please announcement attached file after proceed upgrade starting forced upgrade means upgrade process automatically workstation stop process assets upgraded date forced upgrade take notified least two times please understand responsibility backup files important note dependency remain version please notify possible workstation having less than free please article more information kb view article kb subscription store files please make files completely synchronized unlinking subscription please kb article more kb view article kb thank kind regards ext,Software,Operating System,4/3/2016 11:34,Software Team
reassigning,reassigning hi kind help rerouting maternity leave she approve please let once reassigned thank specialist,Database,Oracle,4/3/2016 11:35,DB Team
crucible members mails,re filter blocking crucible mails hello colleagues joining ask add same rules addresses too thank bur lead,Database,Oracle,4/3/2016 11:35,DB Team
confluence password reset,confluence hi please confluence thank br senior developer,Database,DB2,4/3/2016 11:36,DB Team
access to confluence,confluence dear believe raised confluence colleague received please consider best regards,Network,Wireless,4/3/2016 11:36,Networking Team
access on the rd floor,re va wednesday november si si va image,Database,DB2,4/3/2016 11:37,DB Team
add and to the queue sn,add queue sn hi guys please help out add queue cheers leader,Network,IP Address,4/3/2016 11:37,Networking Team
to update,update hi please log order add please assign queue best regards senior engineer wednesday november re hi please note needs too port question please feel free best regards,Software,Email,4/3/2016 11:38,Software Team
admin account to be removed,removed he working,Network,IP Address,4/3/2016 11:38,Networking Team
open port to com from the cd net via public,port node cd has assigned hi please assign please port cd via public best regards engineer friday november re port node cd has assigned approved provide old come tries connect usually add reverse proxy sits front coming told networks connect via find connect public without needing port coming kind regards november re port node cd has assigned hi please approve approved please because covered thank kind regards senior engineer please consider environment print friday november re port node cd has assigned hi discussed he suggested via public think good ahead approach think best regards engineer friday november re port node cd has assigned hi old mapped visible real cannot due policy cannot infrastructure accessible least cannot resources kind regards thursday november pm re port node cd has assigned hi again meantime figured out nothing side therefore assigned thank kind regards senior engineer please consider environment print thursday november pm re port node cd has assigned hi communication include switch restrictions unknown visible port next hop made trace please probably rules needs modified find output command machine thank much help kind regards senior engineer please consider environment print thursday november pm re port node cd has assigned hi cd kernel routing table destination gateway flags mss window default lo link docker engineer thursday november pm re port node cd has assigned hi issue command output output provided which has stated subject thank kind regards senior engineer please consider environment print thursday november pm re port node cd has assigned hi accessible please find commands cd cd docker flags broadcast ether packets bytes errors dropped overruns frame tx packets bytes tx errors dropped overruns carrier collisions flags broadcast ether packets bytes errors dropped overruns frame tx packets bytes tx errors dropped overruns carrier collisions lo flags loop packets bytes errors dropped overruns frame tx packets bytes tx errors dropped overruns carrier collisions flags ether packets bytes errors dropped overruns frame tx packets bytes tx errors dropped overruns carrier collisions cd hops byte packets best regards engineer thursday november pm re port node cd has assigned hi made requested restrictions side please specified give feedback possible please kind regards senior engineer please consider environment print wednesday november pm port node cd has assigned hello please advised record number has assigned please review details take appropriate action reference number details requested location center summary port node cd additional comments requirements port node cd hi please assign please allow ports node cd slave port opened order fetch instead passwords git customs git thank engineer assign virtual infrastructure reference assignment summary port node cd location center attachments image please link kind regards please ref msg,Hardware,Monitor,4/3/2016 11:40,Hardware Team
new purchase po retrieval,purchase po dear purchased has please log allocation please log retrieve old device after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,Database,MS SQL Server,4/3/2016 11:40,DB Team
and active,active hello teams well please let active nor please additional information please hesitate kind regards engineer,Hardware,Monitor,4/3/2016 11:41,Hardware Team
add for access to com,re item publicly hello please help same thanks design lead,Software,Operating System,4/3/2016 11:41,Software Team
upgrading en to windows,upgrading hi please provide steps upgrading asking because tray regarding upgrading out way forcing thanks senior test consultant,Database,DB2,4/3/2016 11:42,DB Team
additions to list,additions hi please add thank opportunities lead,Hardware,Mouse,4/3/2016 11:42,Hardware Team
lost charger,lost charger hello trip forgot charger airports please let model thank engineer,Hardware,Memory,4/3/2016 11:46,Hardware Team
temporary charger for laptop,charger hi please help replacement charger thank kind regards,Software,Operating System,4/3/2016 11:46,Software Team
guest wireless password for,guest wireless hello please guest wireless document work layouts disciplines pm archived move old broad st guest wireless how connect final doc action default thanks consultant,Database,DB2,4/3/2016 11:46,DB Team
si,si va ii si maine si va,Hardware,Memory,4/3/2016 11:46,Hardware Team
provide delegate access to shared mailboxes reviewer permissions,provide delegate shared reviewer permissions dear because protocol has previously free busy other calendars anymore therefore kindly please add reviewer he currently has calendar he his he providing users thanks kind regards engineer,Database,Oracle,4/3/2016 11:47,DB Team
eel access for,copy permissions,Database,DB2,4/3/2016 11:47,DB Team
project setup form pas,setup form hi please help create code based attached form also kindly ask inactivate code starting st december active today tomorrow replace old wonder possible rename old help avoid confusions future possible name code fine please let concerns other information help thank help kind regards programme portfolio officer,Inquiry / Help,Internal Application,4/3/2016 11:48,Support Team
card leaver,card leaver la va ca defect,Database,DB2,4/3/2016 11:48,DB Team
extension socket,extension socket dear please provide extension socket best regards consultant,Hardware,Keyboard,4/3/2016 11:50,Hardware Team
submit this week of,submit hi please kind submit timecard he yesterday tried myself today take submitting window thank officer,Software,Operating System,4/3/2016 11:50,Software Team
leaver mobile phone november,re leaver mobile phone november hi process same other locations please order cancel subscription pretty hard work mobile phone returned regards galaxy date re leaver mobile phone november hi procedure leaves doing mobile subscription phone kind regards administrator wednesday november leaver mobile phone november hi had mobile subscription plan available mobile number note mailbox receive messages,Network,DNS,4/3/2016 11:52,Networking Team
travel access for,dear please include receive thank regards,Inquiry / Help,Email,4/3/2016 11:52,Support Team
bucharest transfer from to,transfer hi please transfer items registered under lead manage these items looks permissions anymore log tool cannot provide received components transferred thanks senior consultant,Hardware,Disk,4/3/2016 11:55,Hardware Team
contact mail user account request com,credentials hi please confluence credentials thank respectfully,Hardware,CPU,4/3/2016 11:55,Hardware Team
